Index,English_Discription,Tag
37,"Set 10 w 1 Bun (Fish Flavored Shredded Pork,  Sour&Spicy Potato Slices, Brocolli)",sour
37,"Set 10 w 1 Bun (Fish Flavored Shredded Pork,  Sour&Spicy Potato Slices, Brocolli)",pork
37,"Set 10 w 1 Bun (Fish Flavored Shredded Pork,  Sour&Spicy Potato Slices, Brocolli)",chinese
38,"Set 10 w 2 Buns (Fish Flavored Shredded Pork,  Sour&Spicy Potato Slices, Brocolli)",spicy
38,"Set 10 w 2 Buns (Fish Flavored Shredded Pork,  Sour&Spicy Potato Slices, Brocolli)",sour
38,"Set 10 w 2 Buns (Fish Flavored Shredded Pork,  Sour&Spicy Potato Slices, Brocolli)",pork
38,"Set 10 w 2 Buns (Fish Flavored Shredded Pork,  Sour&Spicy Potato Slices, Brocolli)",chinese
39,"Set 10 w Rice (Fish Flavored Shredded Pork,  Sour&Spicy Potato Slices, Brocolli)",spicy
39,"Set 10 w Rice (Fish Flavored Shredded Pork,  Sour&Spicy Potato Slices, Brocolli)",sour
39,"Set 10 w Rice (Fish Flavored Shredded Pork,  Sour&Spicy Potato Slices, Brocolli)",pork
39,"Set 10 w Rice (Fish Flavored Shredded Pork,  Sour&Spicy Potato Slices, Brocolli)",chinese
40,"Set 11 w 1 Bun (Braised Fish Fillets, Sliced Fungus with Meat, Brocolli)",fish
40,"Set 11 w 1 Bun (Braised Fish Fillets, Sliced Fungus with Meat, Brocolli)",bun
40,"Set 11 w 1 Bun (Braised Fish Fillets, Sliced Fungus with Meat, Brocolli)",chinese
41,"Set 11 w 2 Buns (Braised Fish Fillets, Sliced Fungus with Meat, Brocolli)",fish
41,"Set 11 w 2 Buns (Braised Fish Fillets, Sliced Fungus with Meat, Brocolli)",bun
41,"Set 11 w 2 Buns (Braised Fish Fillets, Sliced Fungus with Meat, Brocolli)",chinese
42,"Set 11 w Rice (Braised Fish Fillets, Sliced Fungus with Meat, Brocolli)",fish
42,"Set 11 w Rice (Braised Fish Fillets, Sliced Fungus with Meat, Brocolli)",rice
42,"Set 11 w Rice (Braised Fish Fillets, Sliced Fungus with Meat, Brocolli)",chinese
43,"Set 12 w 1 Bun (Fish Flavored Shredded Pork,  Double Cooked Sliced Pork, Shredded Kelp with Soy Sauce)",pork
43,"Set 12 w 1 Bun (Fish Flavored Shredded Pork,  Double Cooked Sliced Pork, Shredded Kelp with Soy Sauce)",chinese
44,"Set 12 w 2 Buns (Fish Flavored Shredded Pork,  Double Cooked Sliced Pork, Shredded Kelp with Soy Sauce)",pork
44,"Set 12 w 2 Buns (Fish Flavored Shredded Pork,  Double Cooked Sliced Pork, Shredded Kelp with Soy Sauce)",chinese
45,"Set 12 w Rice (Fish Flavored Shredded Pork,  Double Cooked Sliced Pork, Shredded Kelp with Soy Sauce)",pork
45,"Set 12 w Rice (Fish Flavored Shredded Pork,  Double Cooked Sliced Pork, Shredded Kelp with Soy Sauce)",chinese
46,"Set 13 w 1 Bun (Vermicelli with minced pork, Fish Flavored Shredded Pork,  Sweet & Sour Cabbage)",pork
46,"Set 13 w 1 Bun (Vermicelli with minced pork, Fish Flavored Shredded Pork,  Sweet & Sour Cabbage)",chinese
47,"Set 13 w 2 Buns (Vermicelli with minced pork, Fish Flavored Shredded Pork,  Sweet & Sour Cabbage)",pork
47,"Set 13 w 2 Buns (Vermicelli with minced pork, Fish Flavored Shredded Pork,  Sweet & Sour Cabbage)",chinese
48,"Set 13 w Rice (Vermicelli with minced pork, Fish Flavored Shredded Pork,  Sweet & Sour Cabbage)",pork
48,"Set 13 w Rice (Vermicelli with minced pork, Fish Flavored Shredded Pork,  Sweet & Sour Cabbage)",chinese
49,"Set 14 w 1 Bun (Vermicelli with minced pork, Double Cooked Sliced Pork, Fried Amaranth)",pork
49,"Set 14 w 1 Bun (Vermicelli with minced pork, Double Cooked Sliced Pork, Fried Amaranth)",bun
49,"Set 14 w 1 Bun (Vermicelli with minced pork, Double Cooked Sliced Pork, Fried Amaranth)",chinese
50,"Set 14 w 2 Buns (Vermicelli with minced pork, Double Cooked Sliced Pork, Fried Amaranth)",pork
50,"Set 14 w 2 Buns (Vermicelli with minced pork, Double Cooked Sliced Pork, Fried Amaranth)",bun
50,"Set 14 w 2 Buns (Vermicelli with minced pork, Double Cooked Sliced Pork, Fried Amaranth)",chinese
51,"Set 14 w Rice (Vermicelli with minced pork, Double Cooked Sliced Pork, Fried Amaranth)",pork
51,"Set 14 w Rice (Vermicelli with minced pork, Double Cooked Sliced Pork, Fried Amaranth)",rice
51,"Set 14 w Rice (Vermicelli with minced pork, Double Cooked Sliced Pork, Fried Amaranth)",chinese
52,"Set 15 w 1 Bun (Braised Beef w Potato, Braised Fish Fillets, Shredded Kelp with Soy Sauce)",beef
52,"Set 15 w 1 Bun (Braised Beef w Potato, Braised Fish Fillets, Shredded Kelp with Soy Sauce)",fish
52,"Set 15 w 1 Bun (Braised Beef w Potato, Braised Fish Fillets, Shredded Kelp with Soy Sauce)",bun
52,"Set 15 w 1 Bun (Braised Beef w Potato, Braised Fish Fillets, Shredded Kelp with Soy Sauce)",chinese
53,"Set 15 w 2 Buns (Braised Beef w Potato, Braised Fish Fillets, Shredded Kelp with Soy Sauce)",beef
53,"Set 15 w 2 Buns (Braised Beef w Potato, Braised Fish Fillets, Shredded Kelp with Soy Sauce)",fish
