Index,English_Discription,Tag
93,"Set 8 w 2 Buns (Braised Beef w Potato, Sauteed Sour Beans with Minced Pork, Fried Black Fungus with Cabbage",beef
93,"Set 8 w 2 Buns (Braised Beef w Potato, Sauteed Sour Beans with Minced Pork, Fried Black Fungus with Cabbage",pork
93,"Set 8 w 2 Buns (Braised Beef w Potato, Sauteed Sour Beans with Minced Pork, Fried Black Fungus with Cabbage",bun
93,"Set 8 w 2 Buns (Braised Beef w Potato, Sauteed Sour Beans with Minced Pork, Fried Black Fungus with Cabbage",chinese
94,"Set 8 w Rice (Braised Beef w Potato, Sauteed Sour Beans with Minced Pork, Fried Black Fungus with Cabbage",sour
94,"Set 8 w Rice (Braised Beef w Potato, Sauteed Sour Beans with Minced Pork, Fried Black Fungus with Cabbage",beef
94,"Set 8 w Rice (Braised Beef w Potato, Sauteed Sour Beans with Minced Pork, Fried Black Fungus with Cabbage",pork
94,"Set 8 w Rice (Braised Beef w Potato, Sauteed Sour Beans with Minced Pork, Fried Black Fungus with Cabbage",rice
94,"Set 8 w Rice (Braised Beef w Potato, Sauteed Sour Beans with Minced Pork, Fried Black Fungus with Cabbage",chinese
95,"Set 9 w 1 Bun (Kung Pao Chicken, Braised Beef w Potato, Sweet&Sour Cabbage",beef
95,"Set 9 w 1 Bun (Kung Pao Chicken, Braised Beef w Potato, Sweet&Sour Cabbage",chicken
95,"Set 9 w 1 Bun (Kung Pao Chicken, Braised Beef w Potato, Sweet&Sour Cabbage",bun
95,"Set 9 w 1 Bun (Kung Pao Chicken, Braised Beef w Potato, Sweet&Sour Cabbage",chinese
96,"Set 9 w 2 Buns (Kung Pao Chicken, Braised Beef w Potato, Sweet&Sour Cabbage",beef
96,"Set 9 w 2 Buns (Kung Pao Chicken, Braised Beef w Potato, Sweet&Sour Cabbage",chicken
96,"Set 9 w 2 Buns (Kung Pao Chicken, Braised Beef w Potato, Sweet&Sour Cabbage",bun
96,"Set 9 w 2 Buns (Kung Pao Chicken, Braised Beef w Potato, Sweet&Sour Cabbage",chinese
97,"Set 9 w Rice (Kung Pao Chicken, Braised Beef w Potato, Sweet&Sour Cabbage",beef
97,"Set 9 w Rice (Kung Pao Chicken, Braised Beef w Potato, Sweet&Sour Cabbage",chicken
97,"Set 9 w Rice (Kung Pao Chicken, Braised Beef w Potato, Sweet&Sour Cabbage",rice
97,"Set 9 w Rice (Kung Pao Chicken, Braised Beef w Potato, Sweet&Sour Cabbage",chinese
98,"Set A1 w bun (Kung Pao Chicken, Braised Beef w Potato, Fried Cabbage",beef
98,"Set A1 w bun (Kung Pao Chicken, Braised Beef w Potato, Fried Cabbage",chicken
98,"Set A1 w bun (Kung Pao Chicken, Braised Beef w Potato, Fried Cabbage",bun
98,"Set A1 w bun (Kung Pao Chicken, Braised Beef w Potato, Fried Cabbage",chinese
99,"Set A1 w rice (Kung Pao Chicken, Braised Beef w Potato, Fried Cabbage",beef
99,"Set A1 w rice (Kung Pao Chicken, Braised Beef w Potato, Fried Cabbage",chicken
99,"Set A1 w rice (Kung Pao Chicken, Braised Beef w Potato, Fried Cabbage",rice
99,"Set A1 w rice (Kung Pao Chicken, Braised Beef w Potato, Fried Cabbage",chinese
100,"Set A2 w 2 buns (Braised Fish Fillets, Lotus Roots with Sliced Pork, Broccoli",pork
100,"Set A2 w 2 buns (Braised Fish Fillets, Lotus Roots with Sliced Pork, Broccoli",fish
100,"Set A2 w 2 buns (Braised Fish Fillets, Lotus Roots with Sliced Pork, Broccoli",bun
100,"Set A2 w 2 buns (Braised Fish Fillets, Lotus Roots with Sliced Pork, Broccoli",chinese
101,"Set A2 w rice (Braised Fish Fillets, Lotus Roots with Sliced Pork, Broccoli",pork
101,"Set A2 w rice (Braised Fish Fillets, Lotus Roots with Sliced Pork, Broccoli",fish
101,"Set A2 w rice (Braised Fish Fillets, Lotus Roots with Sliced Pork, Broccoli",rice
101,"Set A2 w rice (Braised Fish Fillets, Lotus Roots with Sliced Pork, Broccoli",chinese
102,"Set A3 w bun (Vermicelli with Minced Pork, Braised Pork Belly, Fried Amaranth",pork
102,"Set A3 w bun (Vermicelli with Minced Pork, Braised Pork Belly, Fried Amaranth",bun
102,"Set A3 w bun (Vermicelli with Minced Pork, Braised Pork Belly, Fried Amaranth",chinese
103,"Set A3 w rice (Vermicelli with Minced Pork, Braised Pork Belly, Fried Amaranth",pork
103,"Set A3 w rice (Vermicelli with Minced Pork, Braised Pork Belly, Fried Amaranth",rice
103,"Set A3 w rice (Vermicelli with Minced Pork, Braised Pork Belly, Fried Amaranth",chinese
104,"Set A4 w bun (Chicken Leg, Sour & Spicy Potato Slices, Fried Amaranth",spicy
104,"Set A4 w bun (Chicken Leg, Sour & Spicy Potato Slices, Fried Amaranth",sour
104,"Set A4 w bun (Chicken Leg, Sour & Spicy Potato Slices, Fried Amaranth",chicken
104,"Set A4 w bun (Chicken Leg, Sour & Spicy Potato Slices, Fried Amaranth",bun
104,"Set A4 w bun (Chicken Leg, Sour & Spicy Potato Slices, Fried Amaranth",chinese
105,"Set A4 w rice (Chicken Leg, Sour & Spicy Potato Slices, Fried Amaranth",spicy
105,"Set A4 w rice (Chicken Leg, Sour & Spicy Potato Slices, Fried Amaranth",sour
105,"Set A4 w rice (Chicken Leg, Sour & Spicy Potato Slices, Fried Amaranth",chicken
105,"Set A4 w rice (Chicken Leg, Sour & Spicy Potato Slices, Fried Amaranth",rice
105,"Set A4 w rice (Chicken Leg, Sour & Spicy Potato Slices, Fried Amaranth",chinese
106,"Set A5 w 1 bun (Spicy Pork Ribs, Sliced Fungus with Meat, Fish Flavoured Eggplant",spicy
106,"Set A5 w 1 bun (Spicy Pork Ribs, Sliced Fungus with Meat, Fish Flavoured Eggplant",pork
106,"Set A5 w 1 bun (Spicy Pork Ribs, Sliced Fungus with Meat, Fish Flavoured Eggplant",chinese
107,"Set A5 w rice (Spicy Pork Ribs, Sliced Fungus with Meat, Fish Flavoured Eggplant",spicy
107,"Set A5 w rice (Spicy Pork Ribs, Sliced Fungus with Meat, Fish Flavoured Eggplant",pork
107,"Set A5 w rice (Spicy Pork Ribs, Sliced Fungus with Meat, Fish Flavoured Eggplant",chinese
108,Set A6 Spicy Pork Ribs Noodle (Soup,pork
108,Set A6 Spicy Pork Ribs Noodle (Soup,noodle
108,Set A6 Spicy Pork Ribs Noodle (Soup,soup
108,Set A6 Spicy Pork Ribs Noodle (Soup,chinese
109,Set A7 [Vegetarian] Tomato Egg Noodle (Soup,vegeatarian
109,Set A7 [Vegetarian] Tomato Egg Noodle (Soup,chicken
109,Set A7 [Vegetarian] Tomato Egg Noodle (Soup,noodle
109,Set A7 [Vegetarian] Tomato Egg Noodle (Soup,soup
109,Set A7 [Vegetarian] Tomato Egg Noodle (Soup,chinese
110,Set A8 Double Cooked Sliced Pork Fried Rice,pork
110,Set A8 Double Cooked Sliced Pork Fried Rice,rice
110,Set A8 Double Cooked Sliced Pork Fried Rice,chinese
111,Set B1 [Halal] Beef & Ebi Bento,beef
111,Set B1 [Halal] Beef & Ebi Bento,halal
111,Set B1 [Halal] Beef & Ebi Bento,japanese
112,Set B1 [Halal] Braised Chicken w/ Noodle,chicken
112,Set B1 [Halal] Braised Chicken w/ Noodle,halal
112,Set B1 [Halal] Braised Chicken w/ Noodle,noodle
112,Set B1 [Halal] Braised Chicken w/ Noodle,local items
113,Set B1 [Halal] Omurice w/ Fish Fillet,fish
113,Set B1 [Halal] Omurice w/ Fish Fillet,halal
113,Set B1 [Halal] Omurice w/ Fish Fillet,rice
113,Set B1 [Halal] Omurice w/ Fish Fillet,japanese
114,Set B1 [Halal] Saba Shioyaki Set,fish
114,Set B1 [Halal] Saba Shioyaki Set,halal
114,Set B1 [Halal] Saba Shioyaki Set,japanese
115,Set B1 [Halal] Shrimp & Saba Bento,fish
115,Set B1 [Halal] Shrimp & Saba Bento,halal
115,Set B1 [Halal] Shrimp & Saba Bento,japanese
116,Set B1 Bean Paste Chicken Wings,chicken
116,Set B1 Bean Paste Chicken Wings,thai
117,Set B1 Clear Tomyam Seafood Soup w/ Rice,rice
117,Set B1 Clear Tomyam Seafood Soup w/ Rice,soup
117,Set B1 Clear Tomyam Seafood Soup w/ Rice,thai
118,"Set B1 w bun (Double Cooked Sliced Pork, Braised Beef w Potato, Dry Tofu with Celery",beef
118,"Set B1 w bun (Double Cooked Sliced Pork, Braised Beef w Potato, Dry Tofu with Celery",fish
118,"Set B1 w bun (Double Cooked Sliced Pork, Braised Beef w Potato, Dry Tofu with Celery",bun
118,"Set B1 w bun (Double Cooked Sliced Pork, Braised Beef w Potato, Dry Tofu with Celery",chinese
119,"Set B1 w rice (Double Cooked Sliced Pork, Braised Beef w Potato, Dry Tofu with Celery",beef
119,"Set B1 w rice (Double Cooked Sliced Pork, Braised Beef w Potato, Dry Tofu with Celery",fish
119,"Set B1 w rice (Double Cooked Sliced Pork, Braised Beef w Potato, Dry Tofu with Celery",rice
119,"Set B1 w rice (Double Cooked Sliced Pork, Braised Beef w Potato, Dry Tofu with Celery",chinese
120,Set B2 [Halal] Beef & Chicken Bento,beef
120,Set B2 [Halal] Beef & Chicken Bento,chicken
120,Set B2 [Halal] Beef & Chicken Bento,halal
120,Set B2 [Halal] Beef & Chicken Bento,japanese
121,Set B2 [Halal] Fuqi Feipian (Beef,halal
121,Set B2 [Halal] Fuqi Feipian (Beef,chinese
122,Set B2 [Halal] Omurice w/ Ebi,halal
122,Set B2 [Halal] Omurice w/ Ebi,rice
122,Set B2 [Halal] Omurice w/ Ebi,japanese
123,Set B2 [Halal] Oyster Sauce Chicken w/ Noodle,chicken
123,Set B2 [Halal] Oyster Sauce Chicken w/ Noodle,halal
123,Set B2 [Halal] Oyster Sauce Chicken w/ Noodle,noodle
123,Set B2 [Halal] Oyster Sauce Chicken w/ Noodle,local items
124,Set B2 [Halal] Saba & Chicken Bento,chicken
124,Set B2 [Halal] Saba & Chicken Bento,halal
124,Set B2 [Halal] Saba & Chicken Bento,japanese
125,Set B2 [Halal] Spicy Sweet Potato Noodle w/ Beef,spicy
125,Set B2 [Halal] Spicy Sweet Potato Noodle w/ Beef,sour
125,Set B2 [Halal] Spicy Sweet Potato Noodle w/ Beef,beef
125,Set B2 [Halal] Spicy Sweet Potato Noodle w/ Beef,halal
125,Set B2 [Halal] Spicy Sweet Potato Noodle w/ Beef,noodle
125,Set B2 [Halal] Spicy Sweet Potato Noodle w/ Beef,chinese
126,Set B2 Thai Sweet & Sour Fish Rice,sour
126,Set B2 Thai Sweet & Sour Fish Rice,rice
126,Set B2 Thai Sweet & Sour Fish Rice,thai
127,"Set B2 w 1 bun (Sauteed Sour Beans with Minced Pork, Fried Cucumber  with Eggs, Dry Tofu with Celery",sour
127,"Set B2 w 1 bun (Sauteed Sour Beans with Minced Pork, Fried Cucumber  with Eggs, Dry Tofu with Celery",pork
127,"Set B2 w 1 bun (Sauteed Sour Beans with Minced Pork, Fried Cucumber  with Eggs, Dry Tofu with Celery",fish
127,"Set B2 w 1 bun (Sauteed Sour Beans with Minced Pork, Fried Cucumber  with Eggs, Dry Tofu with Celery",bun
127,"Set B2 w 1 bun (Sauteed Sour Beans with Minced Pork, Fried Cucumber  with Eggs, Dry Tofu with Celery",chinese
128,"Set B2 w rice (Sauteed Sour Beans with Minced Pork, Fried Cucumber  with Eggs, Dry Tofu with Celery",sour
128,"Set B2 w rice (Sauteed Sour Beans with Minced Pork, Fried Cucumber  with Eggs, Dry Tofu with Celery",pork
128,"Set B2 w rice (Sauteed Sour Beans with Minced Pork, Fried Cucumber  with Eggs, Dry Tofu with Celery",fish
128,"Set B2 w rice (Sauteed Sour Beans with Minced Pork, Fried Cucumber  with Eggs, Dry Tofu with Celery",rice
128,"Set B2 w rice (Sauteed Sour Beans with Minced Pork, Fried Cucumber  with Eggs, Dry Tofu with Celery",chinese
129,Set B3 [Halal] Curry Chicken Set,chicken
129,Set B3 [Halal] Curry Chicken Set,halal
129,Set B3 [Halal] Curry Chicken Set,indonesian
130,Set B3 [Halal] Ginseng Chicken Soup,chicken
130,Set B3 [Halal] Ginseng Chicken Soup,halal
130,Set B3 [Halal] Ginseng Chicken Soup,soup
130,Set B3 [Halal] Ginseng Chicken Soup,korean
131,Set B3 [Halal] Salmon & Ebi Bento,fish
131,Set B3 [Halal] Salmon & Ebi Bento,halal
131,Set B3 [Halal] Salmon & Ebi Bento,japanese
132,Set B3 [Halal] Scallop & Beef Bento,beef
132,Set B3 [Halal] Scallop & Beef Bento,halal
132,Set B3 [Halal] Scallop & Beef Bento,japanese
133,Set B3 [Halal] Thai Basil Chicken with Rice,chicken
133,Set B3 [Halal] Thai Basil Chicken with Rice,halal
133,Set B3 [Halal] Thai Basil Chicken with Rice,rice
133,Set B3 [Halal] Thai Basil Chicken with Rice,thai
134,Set B3 [Vegetarian] Xi'an Cold Noodle,vegeatarian
134,Set B3 [Vegetarian] Xi'an Cold Noodle,noodle
134,Set B3 [Vegetarian] Xi'an Cold Noodle,chinese
135,Set B3 Grilled Chicken w BBQ Sauce w Rice,chicken
135,Set B3 Grilled Chicken w BBQ Sauce w Rice,rice
135,Set B3 Grilled Chicken w BBQ Sauce w Rice,western
136,Set B3 Seafood Fried Rice,rice
136,Set B3 Seafood Fried Rice,local items
137,"Set B3 w bun (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",spicy
137,"Set B3 w bun (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",sour
137,"Set B3 w bun (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",pork
137,"Set B3 w bun (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",fish
137,"Set B3 w bun (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",bun
137,"Set B3 w bun (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",chinese
138,"Set B3 w rice (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",spicy
138,"Set B3 w rice (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",sour
138,"Set B3 w rice (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",pork
138,"Set B3 w rice (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",fish
138,"Set B3 w rice (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",rice
138,"Set B3 w rice (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",chinese
139,Set B4 [Halal] Grilled Mackerel w/ Rice,fish
139,Set B4 [Halal] Grilled Mackerel w/ Rice,halal
139,Set B4 [Halal] Grilled Mackerel w/ Rice,rice
139,Set B4 [Halal] Grilled Mackerel w/ Rice,korean
140,Set B4 [Vegetarian] Hot and Sour Cabbage w/ Rice,spicy
140,Set B4 [Vegetarian] Hot and Sour Cabbage w/ Rice,sour
140,Set B4 [Vegetarian] Hot and Sour Cabbage w/ Rice,vegeatarian
140,Set B4 [Vegetarian] Hot and Sour Cabbage w/ Rice,rice
140,Set B4 [Vegetarian] Hot and Sour Cabbage w/ Rice,chinese
141,Set B4 [Vegetarian] Stir Fried Potato Eggplant & Green Pepper w Rice,vegeatarian
141,Set B4 [Vegetarian] Stir Fried Potato Eggplant & Green Pepper w Rice,rice
141,Set B4 [Vegetarian] Stir Fried Potato Eggplant & Green Pepper w Rice,chinese
142,Set B4 Kimchi Jigae Soup w/ rice,rice
142,Set B4 Kimchi Jigae Soup w/ rice,soup
142,Set B4 Kimchi Jigae Soup w/ rice,korean
143,Set B4 Stir Fried Green Pepper and Tofu Skin w Rice,rice
143,Set B4 Stir Fried Green Pepper and Tofu Skin w Rice,chinese
144,Set B4 Vegetable Baked Rice,rice
144,Set B4 Vegetable Baked Rice,western
145,"Set B4 w 2 buns (Sauteed Sour Beans with Minced Pork, Braised Beef w Potato, Fried Black Fungus with Cabbage",sour
145,"Set B4 w 2 buns (Sauteed Sour Beans with Minced Pork, Braised Beef w Potato, Fried Black Fungus with Cabbage",beef
145,"Set B4 w 2 buns (Sauteed Sour Beans with Minced Pork, Braised Beef w Potato, Fried Black Fungus with Cabbage",pork
145,"Set B4 w 2 buns (Sauteed Sour Beans with Minced Pork, Braised Beef w Potato, Fried Black Fungus with Cabbage",fish
145,"Set B4 w 2 buns (Sauteed Sour Beans with Minced Pork, Braised Beef w Potato, Fried Black Fungus with Cabbage",bun
145,"Set B4 w 2 buns (Sauteed Sour Beans with Minced Pork, Braised Beef w Potato, Fried Black Fungus with Cabbage",chinese
146,"Set B4 w rice (Sauteed Sour Beans with Minced Pork, Braised Beef w Potato, Fried Black Fungus with Cabbage",sour
146,"Set B4 w rice (Sauteed Sour Beans with Minced Pork, Braised Beef w Potato, Fried Black Fungus with Cabbage",beef
146,"Set B4 w rice (Sauteed Sour Beans with Minced Pork, Braised Beef w Potato, Fried Black Fungus with Cabbage",pork
146,"Set B4 w rice (Sauteed Sour Beans with Minced Pork, Braised Beef w Potato, Fried Black Fungus with Cabbage",fish
146,"Set B4 w rice (Sauteed Sour Beans with Minced Pork, Braised Beef w Potato, Fried Black Fungus with Cabbage",rice
146,"Set B4 w rice (Sauteed Sour Beans with Minced Pork, Braised Beef w Potato, Fried Black Fungus with Cabbage",chinese
147,Set B5 [Halal] Fish Fillet & Ebi Bento,halal
147,Set B5 [Halal] Fish Fillet & Ebi Bento,japanese
148,Set B5 [Halal] Kimchi Fried Rice w/ Chicken,chicken
148,Set B5 [Halal] Kimchi Fried Rice w/ Chicken,halal
148,Set B5 [Halal] Kimchi Fried Rice w/ Chicken,rice
148,Set B5 [Halal] Kimchi Fried Rice w/ Chicken,korean
149,Set B5 [Halal] Pineapple Fried Rice,halal
149,Set B5 [Halal] Pineapple Fried Rice,rice
149,Set B5 [Halal] Pineapple Fried Rice,thai
150,Set B5 [Halal] Scallop & Salmon Bento,fish
150,Set B5 [Halal] Scallop & Salmon Bento,halal
150,Set B5 [Halal] Scallop & Salmon Bento,japanese
151,Set B5 [Halal] Shrimp & Chicken Teriyaki Bento,chicken
151,Set B5 [Halal] Shrimp & Chicken Teriyaki Bento,halal
151,Set B5 [Halal] Shrimp & Chicken Teriyaki Bento,japanese
152,Set B5 Minced Meat Noodle w Soybean Paste,noodle
152,Set B5 Minced Meat Noodle w Soybean Paste,chinese
153,Set B5 Shredded Chicken Peanut Porridge,chicken
153,Set B5 Shredded Chicken Peanut Porridge,local items
154,"Set B5 w bun (Braised Pork Ribs with Potato, Lotus Roots with Sliced Pork, Tofu with Mixed Vegetables",pork
154,"Set B5 w bun (Braised Pork Ribs with Potato, Lotus Roots with Sliced Pork, Tofu with Mixed Vegetables",bun
154,"Set B5 w bun (Braised Pork Ribs with Potato, Lotus Roots with Sliced Pork, Tofu with Mixed Vegetables",chinese
155,"Set B5 w rice (Braised Pork Ribs with Potato, Lotus Roots with Sliced Pork, Tofu with Mixed Vegetables",pork
155,"Set B5 w rice (Braised Pork Ribs with Potato, Lotus Roots with Sliced Pork, Tofu with Mixed Vegetables",rice
155,"Set B5 w rice (Braised Pork Ribs with Potato, Lotus Roots with Sliced Pork, Tofu with Mixed Vegetables",chinese
156,Set B6 [Halal] Chicken Teriyaki & Ebi Bento,chicken
156,Set B6 [Halal] Chicken Teriyaki & Ebi Bento,halal
156,Set B6 [Halal] Chicken Teriyaki & Ebi Bento,japanese
157,Set B6 [Halal] Grilled Chicken w Brown Sauce w/ Rice,chicken
157,Set B6 [Halal] Grilled Chicken w Brown Sauce w/ Rice,halal
157,Set B6 [Halal] Grilled Chicken w Brown Sauce w/ Rice,rice
157,Set B6 [Halal] Grilled Chicken w Brown Sauce w/ Rice,western
158,Set B6 [Halal] Omurice w/ Beef,beef
158,Set B6 [Halal] Omurice w/ Beef,halal
158,Set B6 [Halal] Omurice w/ Beef,rice
158,Set B6 [Halal] Omurice w/ Beef,japanese
159,Set B6 Meatball Porridge,pork
159,Set B6 Meatball Porridge,local items
160,"Set B6 Noodle w Tomato, Egg & Beef",chicken
160,"Set B6 Noodle w Tomato, Egg & Beef",noodle
160,"Set B6 Noodle w Tomato, Egg & Beef",chinese
161,Set B6 Pork & Cabbage Dumplings 10pcs,pork
161,Set B6 Pork & Cabbage Dumplings 10pcs,chinese
162,Set B6 Salmon & Beef Bento,beef
162,Set B6 Salmon & Beef Bento,japanese
163,Set B6 Spicy Braised Beef Noodle (Soup,spicy
163,Set B6 Spicy Braised Beef Noodle (Soup,beef
163,Set B6 Spicy Braised Beef Noodle (Soup,noodle
163,Set B6 Spicy Braised Beef Noodle (Soup,soup
163,Set B6 Spicy Braised Beef Noodle (Soup,chinese
164,Set B7 [Halal] Fish Fillet & Beef Bento,beef
164,Set B7 [Halal] Fish Fillet & Beef Bento,fish
164,Set B7 [Halal] Fish Fillet & Beef Bento,halal
164,Set B7 [Halal] Fish Fillet & Beef Bento,japanese
165,Set B7 [Halal] Grilled Fish w Black Pepper Sauce w Rice,fish
165,Set B7 [Halal] Grilled Fish w Black Pepper Sauce w Rice,halal
165,Set B7 [Halal] Grilled Fish w Black Pepper Sauce w Rice,rice
165,Set B7 [Halal] Grilled Fish w Black Pepper Sauce w Rice,western
166,Set B7 ABC Soup w/ Rice,rice
166,Set B7 ABC Soup w/ Rice,soup
166,Set B7 ABC Soup w/ Rice,local items
167,Set B7 Century Egg w Pork Porridge,pork
167,Set B7 Century Egg w Pork Porridge,local items
168,Set B7 Double Cooked Sliced Pork Fried Rice,pork
168,Set B7 Double Cooked Sliced Pork Fried Rice,rice
168,Set B7 Double Cooked Sliced Pork Fried Rice,chinese
169,Set B7 Fried Rice w Shrimps,rice
169,Set B7 Fried Rice w Shrimps,chinese
170,Set B7 Signature Sesame Oil Chicken,chicken
170,Set B7 Signature Sesame Oil Chicken,local items
171,Set B7 Three Mushroon Porridge,local items
172,Set B7 Watercress Pork Rib Soup w/ Rice,pork
172,Set B7 Watercress Pork Rib Soup w/ Rice,rice
172,Set B7 Watercress Pork Rib Soup w/ Rice,soup
172,Set B7 Watercress Pork Rib Soup w/ Rice,local items
173,Set B8 [Halal] Grilled Chicken w/ Black Pepper Sauce,chicken
173,Set B8 [Halal] Grilled Chicken w/ Black Pepper Sauce,halal
173,Set B8 [Halal] Grilled Chicken w/ Black Pepper Sauce,western
174,Set B8 [Halal] Roasted Chicken Thigh & Sweet Potato Salad,chicken
174,Set B8 [Halal] Roasted Chicken Thigh & Sweet Potato Salad,halal
174,Set B8 [Halal] Roasted Chicken Thigh & Sweet Potato Salad,none
175,Set B8 [Halal] Roasted Chicken Thigh w/ Brown Soba Salad,chicken
175,Set B8 [Halal] Roasted Chicken Thigh w/ Brown Soba Salad,halal
175,Set B8 [Halal] Roasted Chicken Thigh w/ Brown Soba Salad,none
176,Set B8 [Halal] Smoked Salmon & Brown Soba Salad,fish
176,Set B8 [Halal] Smoked Salmon & Brown Soba Salad,halal
176,Set B8 [Halal] Smoked Salmon & Brown Soba Salad,none
177,Set B8 [Halal] Smoked Salmon & Sweet Potato Salad,fish
177,Set B8 [Halal] Smoked Salmon & Sweet Potato Salad,halal
177,Set B8 [Halal] Smoked Salmon & Sweet Potato Salad,none
178,Set B8 [Halal] Tandoori Chicken Thigh w/ Brown Rice Salad,chicken
178,Set B8 [Halal] Tandoori Chicken Thigh w/ Brown Rice Salad,halal
178,Set B8 [Halal] Tandoori Chicken Thigh w/ Brown Rice Salad,rice
178,Set B8 [Halal] Tandoori Chicken Thigh w/ Brown Rice Salad,none
179,Set B8 Yangzhou Fried Rice,rice
179,Set B8 Yangzhou Fried Rice,chinese
180,Set C1 [Halal] Salmon & Chicken Bento,chicken
180,Set C1 [Halal] Salmon & Chicken Bento,halal
180,Set C1 [Halal] Salmon & Chicken Bento,japanese
181,"Set C1 w bun (Fish flavored Shredded Pork, Cumin Beef, Green Pepper with Beancurd Skin",beef
181,"Set C1 w bun (Fish flavored Shredded Pork, Cumin Beef, Green Pepper with Beancurd Skin",pork
181,"Set C1 w bun (Fish flavored Shredded Pork, Cumin Beef, Green Pepper with Beancurd Skin",chinese
182,"Set C1 w rice (Fish flavored Shredded Pork, Cumin Beef, Green Pepper with Beancurd Skin",beef
182,"Set C1 w rice (Fish flavored Shredded Pork, Cumin Beef, Green Pepper with Beancurd Skin",pork
182,"Set C1 w rice (Fish flavored Shredded Pork, Cumin Beef, Green Pepper with Beancurd Skin",chinese
183,Set C2 [Halal] [Vegetarian] Fried Sweet Potato Noodle Set,vegeatarian
183,Set C2 [Halal] [Vegetarian] Fried Sweet Potato Noodle Set,halal
183,Set C2 [Halal] [Vegetarian] Fried Sweet Potato Noodle Set,noodle
183,Set C2 [Halal] [Vegetarian] Fried Sweet Potato Noodle Set,korean
184,Set C2 [Halal] Omurice w/ Chicken,chicken
184,Set C2 [Halal] Omurice w/ Chicken,halal
184,Set C2 [Halal] Omurice w/ Chicken,rice
184,Set C2 [Halal] Omurice w/ Chicken,japanese
185,Set C2 [Halal] Thai Green Curry Chicken w/ Rice,chicken
185,Set C2 [Halal] Thai Green Curry Chicken w/ Rice,halal
185,Set C2 [Halal] Thai Green Curry Chicken w/ Rice,rice
185,Set C2 [Halal] Thai Green Curry Chicken w/ Rice,thai
186,Set C2 [Halal] Yong Tau Foo Soup w/ Rice,halal
186,Set C2 [Halal] Yong Tau Foo Soup w/ Rice,rice
186,Set C2 [Halal] Yong Tau Foo Soup w/ Rice,soup
186,Set C2 [Halal] Yong Tau Foo Soup w/ Rice,local items
187,"Set C2 w 1 bun (Double Cooked Sliced Pork, Kung Pao Chicken, Fried Chinese Cabbage",chicken
187,"Set C2 w 1 bun (Double Cooked Sliced Pork, Kung Pao Chicken, Fried Chinese Cabbage",pork
187,"Set C2 w 1 bun (Double Cooked Sliced Pork, Kung Pao Chicken, Fried Chinese Cabbage",bun
187,"Set C2 w 1 bun (Double Cooked Sliced Pork, Kung Pao Chicken, Fried Chinese Cabbage",chinese
188,"Set C2 w rice (Double Cooked Sliced Pork, Kung Pao Chicken, Fried Chinese Cabbage",chicken
188,"Set C2 w rice (Double Cooked Sliced Pork, Kung Pao Chicken, Fried Chinese Cabbage",pork
188,"Set C2 w rice (Double Cooked Sliced Pork, Kung Pao Chicken, Fried Chinese Cabbage",rice
188,"Set C2 w rice (Double Cooked Sliced Pork, Kung Pao Chicken, Fried Chinese Cabbage",chinese
189,Set C3 [Halal] Bibimbab w/ Chicken,chicken
189,Set C3 [Halal] Bibimbab w/ Chicken,halal
189,Set C3 [Halal] Bibimbab w/ Chicken,korean
190,Set C3 [Halal] Fish Slice n Fried Fish Soup w/ Rice,fish
190,Set C3 [Halal] Fish Slice n Fried Fish Soup w/ Rice,halal
190,Set C3 [Halal] Fish Slice n Fried Fish Soup w/ Rice,rice
190,Set C3 [Halal] Fish Slice n Fried Fish Soup w/ Rice,soup
190,Set C3 [Halal] Fish Slice n Fried Fish Soup w/ Rice,local items
191,Set C3 [Halal] Fried Yong Tau Foo w/ Noodle,chicken
191,Set C3 [Halal] Fried Yong Tau Foo w/ Noodle,halal
191,Set C3 [Halal] Fried Yong Tau Foo w/ Noodle,noodle
191,Set C3 [Halal] Fried Yong Tau Foo w/ Noodle,local items
192,Set C3 Bibimbab w/ Beef,beef
192,Set C3 Bibimbab w/ Beef,korean
193,Set C3 Chicken Cutlet,chicken
193,Set C3 Chicken Cutlet,western
194,Set C3 Tomyam Seafood Fried Rice,rice
194,Set C3 Tomyam Seafood Fried Rice,thai
195,"Set C3 w bun (Cumin Beef, Fried Cucumber with Eggs, Sweet & Sour Cabbage)",beef
195,"Set C3 w bun (Cumin Beef, Fried Cucumber with Eggs, Sweet & Sour Cabbage)",bun
